http://dbpedia.org/resource/Francesco_Acerbi
[Start]/[End];2006[NA, NA, 1];2007[NA, NA, 1];2008[NA, NA, 1];2010[NA, NA, 1];2011[NA, NA, 1];
1988-02-10[start, date, 1];[X];[X];[X];[X];[X];
1988-02-10[start, dateof, 1];[X];[X];[X];[X];[X];
2006[NA, NA, 1];[1];[1];[1];[1];[1];
2007[NA, NA, 1];[X];[1];[1];[1];[1];
2008[NA, NA, 1];[X];[X];[1];[1];[1];
2010[NA, NA, 1];[X];[X];[X];[1];[1];
2011[NA, NA, 1];[X];[X];[X];[X];[1];
http://dbpedia.org/resource/Bill_Clinton
[Start]/[End];1977[NA, NA, 1];1979[NA, NA, 1];1979-01-09[end, activeyearsdate, 1];1979-01-09[end, term, 1];1981-01-19[end, term, 1];1981-01-19[end, activeyearsdate, 1];1983[NA, NA, 1];1986[NA, NA, 1];1990[NA, NA, 1];1992-12-12[end, term, 1];1992-12-12[end, activeyearsdate, 1];19921996[NA, NA, 1];1993[NA, NA, 1];1997[NA, NA, 1];2001-01-20[end, term, 1];2001-01-20[end, activeyearsdate, 1];
1946-08-19[start, date, 2];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];
1946-08-19[start, dateof, 1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];
1977[NA, NA, 1];[1];[1];[X];[X];[X];[X];[1];[1];[1];[X];[X];[1];[1];[1];[X];[X];
1977-01-03[start, activeyearsdate, 1];[X];[X];[1];[X];[X];[1];[X];[X];[X];[X];[1];[X];[X];[X];[X];[1];
1977-01-03[start, term, 1];[X];[X];[X];[1];[1];[X];[X];[X];[X];[1];[X];[X];[X];[X];[1];[X];
1979[NA, NA, 1];[X];[1];[X];[X];[X];[X];[1];[1];[1];[X];[X];[1];[1];[1];[X];[X];
1979-01-09[start, term, 1];[X];[X];[X];[1];[1];[X];[X];[X];[X];[1];[X];[X];[X];[X];[1];[X];
1979-01-09[start, activeyearsdate, 1];[X];[X];[1];[X];[X];[1];[X];[X];[X];[X];[1];[X];[X];[X];[X];[1];
1983[NA, NA, 1];[X];[X];[X];[X];[X];[X];[1];[1];[1];[X];[X];[1];[1];[1];[X];[X];
1983-01-11[start, term, 1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[1];[X];[X];[X];[X];[1];[X];
1983-01-11[start, activeyearsdate, 1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[1];[X];[X];[X];[X];[1];
1986[NA, NA, 1];[X];[X];[X];[X];[X];[X];[X];[1];[1];[X];[X];[1];[1];[1];[X];[X];
